Age,Gender,Occupation,Years_Driving,Annual_Mileage,Claims_Frequency,Claim_Severity,Traffic_Violations,Vehicle_Age,Vehicle_Type,Location,Risk_Level
56,Male,Doctor,1,6310,0,3549.3920755102927,2,8,Sedan,Rural,Moderate
69,Female,Driver,42,7190,0,42.65868867643756,0,15,Truck,Rural,Low
46,Male,Student,25,14166,0,191.58410393284518,0,12,Motorcycle,Urban,Low
32,Male,Doctor,46,18658,1,1448.3793154741006,1,7,Sedan,Rural,Low
60,Male,Teacher,21,3822,0,164.22071410303826,2,16,Motorcycle,Urban,Low
25,Male,Student,35,17447,1,3880.0178614714946,2,4,Truck,Rural,Low
38,Male,Student,38,4921,1,387.65315914505044,1,1,SUV,Rural,Low
56,Male,Driver,5,29991,0,2508.947243704901,4,1,Motorcycle,Rural,Low
36,Female,Student,49,18243,0,1085.5330991339513,0,15,Motorcycle,Rural,Moderate
40,Male,Driver,12,12019,0,1005.4430059920696,0,14,SUV,Rural,Low
28,Male,Doctor,5,2547,0,2469.495401864913,1,15,Truck,Urban,Moderate
28,Male,Teacher,9,3076,1,720.0648979782407,1,2,Truck,Rural,High
41,Male,Teacher,44,14962,1,512.1231833791546,1,16,SUV,Rural,Low
53,Female,Student,9,17820,0,245.41824479226707,2,5,Motorcycle,Rural,Moderate
57,Female,Student,35,23469,1,156.11149456410337,0,11,SUV,Rural,Low
41,Male,Doctor,1,14908,0,1569.1063476091747,1,11,SUV,Rural,Low
20,Male,Driver,47,4657,0,136.89512973024443,2,1,SUV,Rural,Low
39,Male,Teacher,10,18146,0,500.9042574293374,1,2,Sedan,Rural,Moderate
19,Female,Driver,46,1735,0,526.306214884267,0,1,SUV,Rural,Low
41,Female,Doctor,39,8214,0,1092.1314696741115,1,3,Motorcycle,Urban,Very High
61,Female,Teacher,36,24968,0,326.4430079584286,1,1,Motorcycle,Rural,Low
47,Female,Teacher,37,12856,0,1821.5731420829302,2,17,Motorcycle,Urban,Low
55,Male,Engineer,48,5094,1,232.54277615753514,1,2,SUV,Rural,Moderate
19,Female,Doctor,35,23978,1,1556.6019195484787,0,14,Sedan,Rural,Low
38,Female,Doctor,17,5728,2,1895.515768472555,3,2,Sedan,Rural,Low
50,Male,Engineer,13,27154,1,214.6554774543952,0,18,Sedan,Urban,Low
29,Male,Driver,6,4729,0,1657.6613658553724,0,8,SUV,Rural,Low
39,Female,Engineer,37,8241,0,1250.8553079487883,0,8,Truck,Urban,Low
61,Female,Doctor,48,18460,2,2074.4771258660858,0,7,SUV,Rural,Moderate
42,Female,Driver,32,11472,0,713.2852311668025,1,11,Truck,Urban,Low
66,Female,Teacher,11,2830,0,266.3858002461643,0,7,Sedan,Rural,Low
44,Male,Engineer,17,11090,0,2430.8701202230245,1,7,Motorcycle,Rural,Moderate
59,Male,Driver,5,29871,0,1560.8554694008255,2,17,Sedan,Urban,Moderate
45,Female,Driver,6,18057,0,21.208694682230313,1,15,Motorcycle,Urban,Moderate
33,Female,Driver,10,17932,0,2803.684607321199,0,7,Motorcycle,Urban,Low
32,Female,Engineer,33,26512,1,2966.6640508391947,1,17,Sedan,Rural,Low
64,Female,Teacher,30,15432,1,438.97659397089416,1,19,SUV,Rural,Low
68,Female,Driver,21,29720,1,10.068777714712112,0,14,Truck,Urban,High
61,Male,Engineer,42,1895,0,804.1621440972252,1,5,Motorcycle,Rural,Moderate
69,Male,Doctor,17,19953,2,2449.6449913714555,2,12,SUV,Rural,Moderate
20,Male,Engineer,27,27663,0,132.8919212409212,0,12,SUV,Urban,Low
54,Female,Engineer,3,18297,1,892.842032275841,0,2,Sedan,Urban,Low
68,Female,Engineer,29,18560,1,1315.9077740885114,2,4,Sedan,Urban,Moderate
24,Male,Driver,2,8273,0,144.6672935643837,1,2,Sedan,Rural,Low
38,Male,Engineer,29,7696,0,720.0527296746684,0,5,Sedan,Urban,Low
26,Female,Doctor,49,22249,0,92.99755719722756,2,2,Motorcycle,Urban,Moderate
56,Male,Driver,36,21690,1,816.7308985928091,1,13,Sedan,Rural,Low
35,Female,Doctor,34,20657,0,583.60352159512,0,3,Sedan,Urban,Low
21,Female,Student,37,23960,0,307.47401149899906,0,15,SUV,Rural,Low
42,Male,Engineer,42,16042,0,1917.8707279272576,0,19,SUV,Urban,Low
31,Male,Driver,1,15900,0,480.92622746876907,0,16,Truck,Urban,Low
67,Male,Driver,26,13434,0,1203.3632506018394,1,14,SUV,Rural,Low
26,Female,Engineer,1,18906,3,1563.9038431579036,0,4,Sedan,Urban,High
43,Female,Teacher,4,23809,1,196.77904494524003,1,17,Sedan,Rural,Low
19,Male,Teacher,39,8477,0,126.82649548160049,3,12,Truck,Urban,Low
37,Female,Doctor,14,3802,1,7.866029363436538,2,2,Sedan,Rural,Moderate
45,Female,Engineer,46,4122,1,365.00654006673466,2,14,Truck,Rural,High
64,Female,Engineer,18,13782,1,1692.578693949735,0,3,Truck,Rural,Low
24,Male,Student,34,3456,1,1481.7742015342342,1,16,Sedan,Rural,Moderate
61,Female,Teacher,1,19033,1,2054.2100779828097,0,8,SUV,Urban,Low
25,Male,Teacher,22,3320,1,1429.6203348420338,1,12,SUV,Urban,Low
64,Male,Engineer,16,11697,0,24.284058851255764,1,9,SUV,Rural,Moderate
52,Female,Doctor,22,18527,1,486.9750549316395,3,1,Truck,Rural,Low
31,Male,Engineer,16,12964,0,5.9448626632840105,1,1,SUV,Urban,Low
34,Female,Doctor,28,9237,0,36.71690469086294,2,9,Truck,Urban,Moderate
53,Male,Teacher,28,20698,1,651.1586291941218,1,15,Motorcycle,Urban,Low
67,Male,Student,22,5406,0,446.2957648710287,1,10,Truck,Rural,Moderate
